id,row_type,living_bath_tradition_name,country_public_bath_status,public_bathhouse_type,representative_site,use_notes,website_ready_summary,name,country,location,latitude,longitude,heritage_designation,designation_year,heritage_category,period_or_date,architectural_cultural_type,short_description,story,historical_value,intangible_rituals_heritage,key_features,current_condition_access,current_use_category,still_used_for_bathing,visitor_cost_summary,cost_currency,cost_min_numeric,cost_max_numeric,cost_basis,cost_source_url,cost_last_checked,cost_confidence,source_urls,tags
bath-011,heritage_site,Tuscan thermal resort; monumental spa park,Varies by site; see current_use_category,Tuscan thermal resort; monumental spa park,Montecatini Terme,"Partly. Montecatini remains a thermal town, but the celebrated historic pavilions are mainly used for drinking cures, events, and visits; bathing/treatments depend on open facilities.","A Tuscan spa town where monumental bath architecture is set within formal gardens, promenades, and a spring landscape.",Montecatini Terme,Italy,"Montecatini Terme, Tuscany",43.8886,10.7794,Component of UNESCO World Heritage Site: The Great Spa Towns of Europe,2021,World Heritage spa town,18th to early 20th century spa development,Tuscan thermal resort; monumental spa park,"A Tuscan spa town where monumental bath architecture is set within formal gardens, promenades, and a spring landscape.","Montecatini Terme developed around mineral springs in a spacious landscape of gardens, promenades, and monumental thermal establishments. Its spa identity is tied to both bathing and drinking cures, with Montecatini Alto and the funicular extending the scenic experience.","It represents the Italian contribution to the European spa phenomenon, especially the use of monumental architecture within a designed park.","Thermal bathing, drinking mineral waters, garden promenades, scenic excursions, and wellness tourism.",Tettuccio Terme; thermal establishments; formal parkland; promenades; funicular; springs,Recognized UNESCO component and visitor spa destination.,Active spa town / historic drinking-cure site and paid thermal treatments,"Partly. Montecatini remains a thermal town, but the celebrated historic pavilions are mainly used for drinking cures, events, and visits; bathing/treatments depend on open facilities.",Terme Tettuccio heritage entry has often been around EUR 10; thermal treatments and wellness packages vary by facility and season.,EUR,10,Varies,Typical heritage entry plus variable treatment pricing; verify seasonal operations.,https://www.termemontecatini.it/ | https://whc.unesco.org/en/list/1613/,2026-07-03,Low,https://whc.unesco.org/en/list/1613/ | https://www.greatspatownsofeurope.eu/the-great-spa-towns/creating-a-world-heritage-site/montecatini-terme/,spa town; tuscany; thermal baths; gardens; unesco
bath-012,heritage_site,Greco-Roman thermal city; sacred healing landscape,Varies by site; see current_use_category,Greco-Roman thermal city; sacred healing landscape,Hierapolis-Pamukkale,Partly. Ancient bath structures are archaeological/museum spaces; visitors can bathe in thermal water at the Antique Pool/Cleopatra Pool area where open.,"An ancient thermal spa city where hot springs, travertine terraces, healing, religion, and urban life are inseparable.",Hierapolis-Pamukkale,Türkiye,"Pamukkale, Denizli Province",37.9239,29.1233,UNESCO World Heritage Site,1988,Ancient thermal spa city,Founded as Hellenistic spa in late 2nd century BCE; flourished under Rome,Greco-Roman thermal city; sacred healing landscape,"An ancient thermal spa city where hot springs, travertine terraces, healing, religion, and urban life are inseparable.","Hierapolis was founded near the white travertine terraces of Pamukkale and became a major Greco-Roman spa settlement. Its baths, temples, necropolis, and thermal pools show how healing water shaped religious practice, medicine, and urban identity.",UNESCO values it as an exceptional Greco-Roman thermal installation on a dramatic natural site.,"Hydrotherapy, bathing, swimming in thermal pools, healing rituals, religious associations with Apollo and later Christian pilgrimage.",Pamukkale travertines; ancient pools; bath complexes; Bath-Basilica; theatre; necropolis; nymphaeum,Major archaeological and tourism site; access is managed due to high visitor pressure and conservation needs.,Archaeological site + active thermal bathing in designated pools,Partly. Ancient bath structures are archaeological/museum spaces; visitors can bathe in thermal water at the Antique Pool/Cleopatra Pool area where open.,"Hierapolis-Pamukkale site admission is commonly around EUR 30; Antique Pool bathing is usually a separate extra fee, often around EUR 10-15 equivalent.",EUR,30,45,Site admission plus optional thermal pool add-on; verify official museum tariff.,https://muze.gov.tr/ | https://whc.unesco.org/en/list/485/,2026-07-03,Medium,https://whc.unesco.org/en/list/485/ | https://www.turkishmuseums.com/museum/detail/2029-denizli-hierapolis-pamukkale-archaeology-museum/2029/4,roman bath; thermal springs; archaeological site; pamukkale; unesco
bath-013,heritage_site,Umayyad desert palace and hammam,Varies by site; see current_use_category,Umayyad desert palace and hammam,Quseir Amra,No. The Umayyad bath complex survives as a heritage monument with frescoes; it is not used for bathing.,A small Umayyad desert establishment whose bath complex and murals offer rare evidence of early Islamic courtly leisure.,Quseir Amra,Jordan,"Eastern desert, Zarqa Governorate",31.8018,36.5873,UNESCO World Heritage Site,1985,Early Islamic bath complex,Early 8th century Umayyad period,Umayyad desert palace and hammam,A small Umayyad desert establishment whose bath complex and murals offer rare evidence of early Islamic courtly leisure.,"Quseir Amra was built as part of an Umayyad desert retreat with a reception hall and hammam. Its changing, warm, and hot rooms, hydraulic system, frescoes, and zodiac dome show how bathing was woven into elite pleasure, rulership, and early Islamic visual culture.",UNESCO values the bath complex and murals as exceptional evidence of early Islamic secular art and architecture.,"Courtly hammam use, elite bathing, princely retreat practices, hospitality, and symbolic performance of power.",Reception hall; hammam; changing room; warm and hot rooms; frescoes; zodiac dome; well and hydraulic system,"Open as a heritage site; vulnerable to moisture, salts, sandstorms, flooding, and visitor impacts.",Archaeological/heritage visit only,No. The Umayyad bath complex survives as a heritage monument with frescoes; it is not used for bathing.,"Often included in the Jordan Pass; standalone entry is typically a small Department of Antiquities fee, commonly around JOD 3 for foreign visitors.",JOD,0,3,Jordan Pass inclusion or standalone visitor ticket; verify official Jordan tourism tariff.,https://www.visitjordan.com/ | https://whc.unesco.org/en/list/327/,2026-07-03,Low,https://whc.unesco.org/en/list/327/ | https://www.wmf.org/projects/qusayr-amra | https://publication.doa.gov.jo/uploads/publications/15/SHAJ%20XII-667-682.pdf,hammam; umayyad; desert castle; frescoes; unesco
bath-014,heritage_site,Islamic city; neighborhood hammam network,Varies by site; see current_use_category,Islamic city; neighborhood hammam network,Old City of Sana'a,"Historically yes: Sana’a has a living hammam tradition, but visitor access and operations are heavily constrained by conflict, safety, and conservation conditions.","A historic Islamic city whose hammams are part of its mosque, souq, neighborhood, and purification infrastructure.",Old City of Sana'a,Yemen,Sana'a,15.3556,44.2081,UNESCO World Heritage Site; List of World Heritage in Danger,1986; danger listing 2015,Historic city with hammams,"More than 2,500 years of urban history; Islamic urban fabric from 7th century onward",Islamic city; neighborhood hammam network,"A historic Islamic city whose hammams are part of its mosque, souq, neighborhood, and purification infrastructure.","Old Sana'a is known for its tower houses, mosques, souqs, and public baths. UNESCO notes 14 hammams within the old city, showing how bathing belonged to daily life, religious preparation, and neighborhood sociability.","The hammams contribute to the city's religious, political, and social heritage as part of a dense historic urban system.","Public bathing, purification before worship, neighborhood gathering, conversation, grooming, and social use across classes.",14 historic hammams; mosques; souqs; tower houses; dense alleys; religious and civic urban fabric,"Highly vulnerable due to conflict, weather damage, and limited conservation resources; listed as World Heritage in Danger.",Historic urban hammam tradition / access constrained,"Historically yes: Sana’a has a living hammam tradition, but visitor access and operations are heavily constrained by conflict, safety, and conservation conditions.","Tourist access is not reliably available; local hammam prices, where operating, are not suitable for public visitor planning. Treat as unavailable / check local security advice.",N/A,N/A,N/A,Not recommended for tourism planning due to conflict/access constraints.,https://whc.unesco.org/en/list/385/,2026-07-03,Medium,https://whc.unesco.org/en/list/385/ | https://unesdoc.unesco.org/ark:/48223/pf0000105192 | https://whc.unesco.org/document/224572,hammam; islamic city; yemen; urban heritage; unesco in danger
bath-015,heritage_site,Medieval Islamic urban ensemble; palace bathhouse and public hammams,Varies by site; see current_use_category,Medieval Islamic urban ensemble; palace bathhouse and public hammams,Walled City of Baku with the Shirvanshah's Palace and Maiden Tower,Partly. Palace hammam remains and some Old City baths are heritage/archaeological features; separate hammam/wellness experiences may operate commercially nearby.,"Baku's walled old city includes palace baths and urban hammams that shaped social, mercantile, and cleansing life.",Walled City of Baku with the Shirvanshah's Palace and Maiden Tower,Azerbaijan,"Icherisheher, Baku",40.3667,49.8333,UNESCO World Heritage Site,2000,Historic urban ensemble with hammams,Layered medieval and early modern urban fabric; palace mainly 15th century; hammams from several periods,Medieval Islamic urban ensemble; palace bathhouse and public hammams,"Baku's walled old city includes palace baths and urban hammams that shaped social, mercantile, and cleansing life.","Icherisheher contains the Shirvanshah's Palace complex, where the palace bath and water infrastructure form part of the royal ensemble. The wider old city also held public hammams used by residents, merchants, and travelers.",Bathhouses are part of the urban fabric demonstrating Baku's long cultural continuity and Islamic city life.,"Steam bathing, cleansing after travel, post-bath tea and conversation, merchant hospitality, and neighborhood social rituals.",Palace bathhouse; underground hammam near Double Gates; Agha Mikayil Hammam; Khoja Gayib Hammam; caravanserais; mosques,Managed as the Icherisheher State Historical-Architectural Reserve; removed from UNESCO Danger List in 2009 after improved conservation.,Heritage bath ruins + some active/private hammam culture nearby,Partly. Palace hammam remains and some Old City baths are heritage/archaeological features; separate hammam/wellness experiences may operate commercially nearby.,"Old City exterior access is free; museum/Palace tickets and private hammam experiences vary widely, roughly AZN 10-60+ depending on site/package.",AZN,10,60+,Heritage museum or private bathhouse range; verify by venue.,https://icherisheher.gov.az/ | https://whc.unesco.org/en/list/958/,2026-07-03,Low,https://whc.unesco.org/en/list/958/ | https://icherisheher.gov.az/en/activity/unesco | https://icherisheher.gov.az/en/monuments/show/sirvansahlar-sarayi-kompleksi | https://icherisheher.gov.az/en/monuments/show/hammam-near-the-double-gates-shamakhi-underground-hammam,hammam; islamic city; palace bath; baku; unesco
bath-016,heritage_site,Ottoman hammam in historic port city,Varies by site; see current_use_category,Ottoman hammam in historic port city,Old City of Acre,No. Hammam al-Basha no longer functions as a bathhouse; it operates as a heritage/museum experience within Old Acre.,A living port city whose Ottoman bathhouses formed part of the social infrastructure of the walled city.,Old City of Acre,Israel,"Acre / Akko, Western Galilee",32.9217,35.0689,UNESCO World Heritage Site,2001,Ottoman walled city with bathhouses,Crusader remains beneath 18th and 19th century Ottoman city,Ottoman hammam in historic port city,A living port city whose Ottoman bathhouses formed part of the social infrastructure of the walled city.,"Acre preserves Crusader remains beneath an Ottoman city of mosques, khans, markets, citadel, and baths. Hammam al-Basha, built under Jazzar Pasha, became a social center where news, business, grooming, and leisure mixed.","UNESCO values Acre as an Ottoman walled town with typical urban components including baths, khans, mosques, and citadel.","Turkish bath rituals, washing, massage, grooming, gossip, news exchange, business conversation, and urban sociability.",Hammam al-Basha; Ottoman streets; khans; citadel; mosques; Crusader subterranean remains,Living heritage city and visitor destination; Hammam al-Basha is interpreted as a museum experience.,Heritage museum only,No. Hammam al-Basha no longer functions as a bathhouse; it operates as a heritage/museum experience within Old Acre.,Usually visited through Old Acre site tickets/combination passes; adult access often falls around ILS 40-60 depending on combination ticket.,ILS,40,60,Typical Old Acre/Hammam al-Basha visitor ticket or combination pass; verify current Old Acre Development Company tariff.,https://www.akko.org.il/en/ | https://whc.unesco.org/en/list/1042/,2026-07-03,Low,https://whc.unesco.org/en/list/1042/ | https://www.akko.org.il/en/attraction/the-turkish-bath-house/,hammam; ottoman; port city; acre; unesco
bath-017,heritage_site,Mughal public bathhouse,Varies by site; see current_use_category,Mughal public bathhouse,Shahi Hammam,No. Shahi Hammam has been restored as a Mughal-era heritage site and is not used for bathing.,"A restored 17th-century Mughal public bathhouse near Delhi Gate, recognized by UNESCO for conservation excellence.",Shahi Hammam,Pakistan,"Walled City of Lahore, Punjab",31.582,74.3126,"UNESCO Asia-Pacific Awards for Cultural Heritage Conservation, Award of Merit",2016,UNESCO conservation award recipient,"Built 1634-1635, Mughal period",Mughal public bathhouse,"A restored 17th-century Mughal public bathhouse near Delhi Gate, recognized by UNESCO for conservation excellence.","Built during Shah Jahan's reign by Wazir Khan, Shahi Hammam served as a public bathhouse in Lahore's walled city. After losing its original function and suffering alteration, it was restored in 2013-2015, revealing frescoes, underground systems, and the spatial logic of Mughal bathing.",The UNESCO award recognized the restoration of a rare Mughal public bathhouse and the recovery of its historic function and decorative fabric.,"Mughal hammam rituals, cleansing, social gathering, urban hospitality, and interpreted memory of public bathing culture.","Hot, warm, and dressing rooms; Mughal frescoes; brick and lime construction; underground water and drainage systems",Restored and open to visitors as a heritage site in Lahore.,Restored heritage museum / no bathing,No. Shahi Hammam has been restored as a Mughal-era heritage site and is not used for bathing.,Entry is generally low-cost; estimate PKR 50-500 depending on local/foreign visitor category and current Walled City tariff. Verify before publishing exact price.,PKR,50,500,Indicative heritage-site entry range; official pricing should be checked locally.,https://walledcitylahore.gop.pk/ | https://the.akdn/en/how-we-work/our-agencies/aga-khan-trust-culture/shahi-hammam,2026-07-03,Low,https://articles.unesco.org/sites/default/files/medias/fichiers/2023/06/2016-winners_1.pdf | https://the.akdn/en/resources-media/whats-new/news-release/17th-century-shahi-hammam-wins-unesco-asia-pacific-award-cultural-heritage | https://walledcitylahore.gop.pk/product/shahi-hammam/,hammam; mughal; lahore; conservation award; unesco
bath-018,heritage_site,Japanese sento; miya-zukuri public bathhouse,Varies by site; see current_use_category,Japanese sento; miya-zukuri public bathhouse,Inari-yu Bathhouse,Yes. Inari-yu is a working Tokyo sento/public bath and living example of everyday Japanese bathing culture.,A historic Tokyo sento restored as a living neighborhood bathhouse and community hub.,Inari-yu Bathhouse,Japan,"Takinogawa, Kita Ward, Tokyo",35.7477,139.7288,"UNESCO Asia-Pacific Awards for Cultural Heritage Conservation, Award of Excellence",2024,UNESCO conservation award recipient,Bathhouse business dates to 1913; present building built in 1930,Japanese sento; miya-zukuri public bathhouse,A historic Tokyo sento restored as a living neighborhood bathhouse and community hub.,"Inari-yu is a surviving neighborhood sento with a temple-like miya-zukuri form. Its restoration preserved the bathhouse while reviving adjacent nagaya spaces for community gathering, making the project a model for keeping public bathing culture alive.",UNESCO praised the project for conserving material fabric while revitalizing declining Japanese neighborhood bathhouse culture.,"Communal bathing, neighborhood encounters, sento etiquette, intergenerational social life, and everyday local wellness rituals.",Miya-zukuri façade; sento bathing rooms; 1930s structure; adjacent nagaya community space,Restored and active as a public bathhouse and community heritage space.,Active public bathhouse / sento,Yes. Inari-yu is a working Tokyo sento/public bath and living example of everyday Japanese bathing culture.,"Tokyo sento public bath fees are regulated; adult admission is commonly around JPY 550, with extra charges for sauna/towels where offered.",JPY,550,550+,Typical Tokyo public bath adult fee; extras vary.,https://www.1010.or.jp/ | https://tokyo-sento.com/,2026-07-03,Medium,https://articles.unesco.org/sites/default/files/medias/fichiers/2024/12/Winners%20of%202024%20UNESCO%20Asia-Pacific%20Awards%20for%20Cultural%20Heritage%20Conservation_1.pdf | https://www.unesco.org/en/articles/these-are-eight-winners-2024-unesco-asia-pacific-awards-cultural-heritage-conservation | https://www.wmf.org/projects/inari-yu-bathhouse | https://sento-to-machi.org/takinogawa-inari-yu/,sento; japan; public bath; conservation award; unesco
bath-019,living_bathhouse_tradition,Mogyoktang and Jjimjilbang,Active country-level tradition,Korean public bath; kiln sauna; urban wellness bathhouse,Mogyoktang and Jjimjilbang,"Yes. Still widely used for bathing, sauna, body-scrub services and low-cost social wellness.","Korea’s neighbourhood 목욕탕 and larger 찜질방 combine cleansing baths, sauna rooms, food, sleep and family/social time.",Mogyoktang and Jjimjilbang,South Korea,"Nationwide; especially Seoul, Busan, Incheon",37.5665,126.978,Living public bathhouse tradition; not UNESCO-listed,Contemporary jjimjilbang popularized in the 1990s; older mokyoktang tradition continues,Living public bath culture,"20th century to present, with older Korean bathing and hanjeungmak sauna roots",Korean public bath; kiln sauna; urban wellness bathhouse,"Korea’s neighbourhood 목욕탕 and larger 찜질방 combine cleansing baths, sauna rooms, food, sleep and family/social time.","Mogyoktang are practical gender-segregated public baths; jjimjilbang added unisex lounge floors, themed kiln rooms, sleeping areas and casual leisure spaces, making the bathhouse a low-cost urban commons.","Important as an everyday, still-used form of Korean urban social infrastructure and embodied care rather than only a tourist heritage object.","Full wash before soaking, hot/cold bath rotation, steam or kiln sauna, 때밀이 exfoliating scrub, sheep-head towel folding, sauna eggs and sikhye, family or friend lounging on heated floors.",Hot tubs; cold tubs; showers; steam rooms; hanjeungmak or bulgama kiln rooms; ondol rest halls; snack bars; massage and body scrub services.,"Active across South Korea, though some older neighbourhood mokyoktang have declined as homes gained bathrooms and wellness mega-spas shifted demand.",Active everyday public bathhouse tradition,"Yes. Still widely used for bathing, sauna, body-scrub services and low-cost social wellness.","Typical neighbourhood bath or sauna entry often ranges around KRW 8,000-20,000; body scrubs and massages are extra and can add KRW 30,000-100,000+ depending on service.",KRW,8000,20000,Indicative adult entry range for public bath/jjimjilbang; services extra; verify local listings before publishing fixed price.,https://english.visitkorea.or.kr/ | https://en.wikipedia.org/wiki/Jjimjilbang | https://en.wikipedia.org/wiki/Mogyoktang,2026-07-03,Medium,https://en.wikipedia.org/wiki/Jjimjilbang | https://en.wikipedia.org/wiki/Mogyoktang,korea; 목욕탕; jjimjilbang; ttaemiri; sauna; living tradition
bath-020,living_bathhouse_tradition,Sentō,Active country-level tradition,Japanese communal bathhouse,Sentō,"Yes. Sentō remain usable public baths, though numbers have decreased.","Sentō are neighbourhood public baths using heated tap water, distinct from natural hot-spring onsen.",Sentō,Japan,"Nationwide; especially Tokyo, Osaka, Kyoto",35.6764,139.65,Living public bathhouse tradition; regulated local public-bath fees; not UNESCO-listed,Long-running urban public bath tradition; modern sentō flourished before private baths became common,Living public bath culture,Edo period to present in urban form,Japanese communal bathhouse,"Sentō are neighbourhood public baths using heated tap water, distinct from natural hot-spring onsen.","Sentō became essential urban infrastructure where apartment dwellers, workers and families could wash, soak and socialize; many now survive through heritage preservation, design renewal and sauna culture.",Historically important as everyday Japanese communal bathing architecture and social practice; some surviving sentō are registered cultural properties.,"Remove shoes, undress by gendered entrance curtains, wash thoroughly at low stools, soak quietly, keep towels out of the bath, finish with milk or a cold drink.","Gender-separated baths; tiled murals often showing Mount Fuji; washing stations; changing rooms; some include saunas, electric baths or jet baths.",Still active but declining in number; preservation groups and operators are reimagining sentō as local heritage spaces.,Active neighbourhood public bathhouse tradition,"Yes. Sentō remain usable public baths, though numbers have decreased.",Tokyo public bath adult fee is regulated locally and is usually around JPY 550; saunas/towels may cost extra.,JPY,550,1000,Typical adult sentō admission plus possible sauna/towel extras; verify city/public bath association rates.,https://www.1010.or.jp/ | https://www.japan.travel/en/guide/japanese-bathhouses/,2026-07-03,Medium,https://www.japan.travel/en/guide/japanese-bathhouses/ | https://www.1010.or.jp/,japan; sento; public bath; neighbourhood bath; living tradition
bath-021,living_bathhouse_tradition,Onsen,Active country-level tradition,Natural hot-spring bath; ryokan and public day bath culture,Onsen,Yes. Widely used by residents and tourists.,Onsen are Japanese baths fed by naturally heated mineral spring water and remain one of the world’s most active living bathing cultures.,Onsen,Japan,"Nationwide hot-spring regions including Beppu, Hakone, Kinosaki, Kusatsu, Dogo",33.2796,131.5,Living hot-spring bathing tradition; not UNESCO ICH-listed as a category,Ancient hot-spring bathing documented from early Japanese history; modern tourism expanded after WWII,Living hot-spring bathing culture,Ancient to present,Natural hot-spring bath; ryokan and public day bath culture,Onsen are Japanese baths fed by naturally heated mineral spring water and remain one of the world’s most active living bathing cultures.,"Hot springs shaped pilgrimage, seasonal cure travel, ryokan hospitality and regional tourism, turning mineral water into a social, medical and aesthetic landscape.","Important for linking geology, place identity, hospitality, cure culture and etiquette into a continuous national bathing practice.","Touji hot-spring cures, washing before soaking, quiet contemplation, yukata movement through spa towns, rotenburo open-air bathing, ashiyu foot baths and no towels in water.",Indoor and outdoor mineral pools; ryokan baths; public day-use baths; foot baths; private family baths; mineral classification signs.,"Highly active, with thousands of springs and public bathing facilities; tattoo policies and mixed bathing rules vary by site.",Active hot-spring public bathing tradition,Yes. Widely used by residents and tourists.,"Day-use public onsen often range from JPY 500-2,500; ryokan/luxury spa access can be much higher.",JPY,500,2500,Typical public/day-use onsen range; lodging and private baths extra.,https://www.japan.travel/en/guide/onsen/ | https://www.env.go.jp/en/nature/nps/park/onsen/index.html,2026-07-03,Medium,https://www.japan.travel/en/guide/onsen/ | https://en.wikipedia.org/wiki/Onsen,japan; onsen; hot springs; ryokan; living tradition
bath-022,living_bathhouse_tradition,Funaoka Onsen,Active country-level tradition,Kyoto wooden sentō with ornate carvings and bathhouse ornament,Funaoka Onsen,Yes. Still used as a public bath.,A richly decorated Kyoto public bathhouse where cultural-property architecture still functions as an everyday sentō.,Funaoka Onsen,Japan,Kyoto,35.037,135.742,Registered Tangible Cultural Property of Japan; active historic sentō,1923; registered as cultural property in 2003/2004 reporting varies by source,Active heritage bathhouse,1923 to present,Kyoto wooden sentō with ornate carvings and bathhouse ornament,A richly decorated Kyoto public bathhouse where cultural-property architecture still functions as an everyday sentō.,"Built as part of a restaurant and bath complex, Funaoka Onsen is known for its carved panels, historic tilework, wooden entrance and survival as an operating urban bath.",It is a rare example of living bathhouse heritage where users can still bathe inside a preserved historic Japanese sentō.,"Sentō etiquette, communal washing and soaking, local neighbourhood use, continuity of public bath routines in a heritage interior.",Karahafu-style entrance; carved transoms; tile decoration; electric bath; outdoor bath; sauna facilities depending on current operation.,Active public bath and visitor destination in Kyoto.,Active historic public bathhouse,Yes. Still used as a public bath.,"Adult admission is broadly comparable to Kyoto/Tokyo sentō rates, usually around JPY 500-700; sauna/towel extras vary.",JPY,500,1000,Indicative adult sentō admission; verify official listing before publishing live prices.,https://funaokaonsen.info/en/,2026-07-03,Medium,https://funaokaonsen.info/en/ | https://en.wikipedia.org/wiki/Funaoka_Onsen,japan; kyoto; sento; active heritage bathhouse
bath-023,living_bathhouse_tradition,Dōgo Onsen Honkan,Active country-level tradition,Wooden public onsen bathhouse,Dōgo Onsen Honkan,Yes. Still used for public hot-spring bathing.,"One of Japan’s most celebrated historic onsen buildings, still used for bathing after restoration works.",Dōgo Onsen Honkan,Japan,"Matsuyama, Ehime Prefecture",33.852,132.786,National Important Cultural Property; active historic onsen bathhouse,Main building 1894; older Dōgo hot-spring tradition dates back centuries,Active heritage hot-spring bathhouse,Ancient spring tradition; present Honkan completed 1894,Wooden public onsen bathhouse,"One of Japan’s most celebrated historic onsen buildings, still used for bathing after restoration works.",Dōgo Onsen has legendary antiquity and the Honkan building became a symbol of Meiji-era bathhouse architecture and literary/tourism imagination.,"It shows how a historic public bath can remain a civic icon, tourist landmark and functional bathhouse.","Hot-spring soaking, yukata strolls, bathhouse ticket rituals, communal washing, regional pilgrimage and restorative bathing.",Multi-storey wooden bathhouse; Kami-no-Yu and Tama-no-Yu bath spaces; imperial bath rooms; decorative roof tower.,Active as a bathing site and heritage attraction; access may be managed by timed tickets and restoration schedules.,Active historic onsen bathhouse,Yes. Still used for public hot-spring bathing.,"Typical adult bathing tickets often start around JPY 460-700, with higher tiers for rooms/tours.",JPY,460,2000,Adult basic bathing and expanded experience range; verify official ticket schedule.,https://dogo.jp/en/,2026-07-03,Medium,https://dogo.jp/en/ | https://en.wikipedia.org/wiki/D%C5%8Dgo_Onsen,japan; onsen; matsuyama; active heritage bathhouse
bath-024,living_bathhouse_tradition,Turkish Hamam Tradition,Active country-level tradition,Ottoman hammam; steam bath; Islamic bathhouse,Turkish Hamam Tradition,"Yes. Many hamams remain usable, from modest local baths to luxury restored Ottoman sites.","Türkiye’s hamam tradition turns cleansing into a staged sequence of heat, marble, steam, exfoliation and social ritual.",Turkish Hamam Tradition,Türkiye,"Nationwide; especially Istanbul, Bursa, Edirne",41.0082,28.9784,Living hammam tradition; many historic hammams under national protection; not UNESCO ICH as a standalone element,Roman/Byzantine precedents; Seljuk and Ottoman expansion,Living public bath culture,Medieval Islamic and Ottoman periods to present,Ottoman hammam; steam bath; Islamic bathhouse,"Türkiye’s hamam tradition turns cleansing into a staged sequence of heat, marble, steam, exfoliation and social ritual.","Ottoman hammams were part of mosque complexes, charitable endowments, neighbourhood life and women’s social worlds; many are now restored for locals and visitors.","Important for connecting Roman thermal architecture, Islamic purification, Ottoman urban infrastructure and gendered public sociability.","Pestemal wrap, warming on the göbek taşı navel stone, kese exfoliation, soap foam massage, bride’s hamam and pre-holiday cleansing rituals.",Domed hot rooms; marble basins; heated central platform; camekân changing hall; gendered sections or hours.,"Still active, though many historic hamams are tourist-oriented while neighbourhood hamams remain more local.",Active public bathhouse tradition,"Yes. Many hamams remain usable, from modest local baths to luxury restored Ottoman sites.","Local hamams can be low-cost; historic tourist hamams often range from TRY 1,000-7,000+ depending on package.",TRY,1000,7000,Wide indicative range from basic bath to scrub/foam/massage package in historic/tourist hamams.,https://goturkiye.com/ | https://www.cemberlitashamami.com/ | https://www.hurremsultanhamami.com/en/,2026-07-03,Medium,https://en.wikipedia.org/wiki/Hammam | https://www.goturkiye.com/,turkey; hamam; hammam; ottoman; kese; living tradition
bath-025,living_bathhouse_tradition,Çemberlitaş Hamamı,Active country-level tradition,Ottoman public bathhouse,Çemberlitaş Hamamı,Yes. Still used for hammam bathing services.,A landmark Ottoman hamam in central Istanbul that still operates as a bathing venue.,Çemberlitaş Hamamı,Türkiye,Istanbul,41.0088,28.971,"Historic Ottoman hamam, often attributed to Mimar Sinan; active bathhouse",1584,Active heritage hammam,16th century,Ottoman public bathhouse,A landmark Ottoman hamam in central Istanbul that still operates as a bathing venue.,"Commissioned in the late 16th century and placed on a major urban route, Çemberlitaş shows the civic, commercial and social role of bathhouses in Ottoman Istanbul.",Valuable as a still-functioning Ottoman hammam where historic architecture and embodied bathing practice meet.,"Kese exfoliation, foam massage, pestemal wrapping, resting after heat, gendered sections and attendant-led bathing.",Twin sections; domed hot room; marble göbek taşı; historic inscriptions; central location near Divanyolu.,"Active historic hammam, primarily serving visitors and some local users.",Active historic hammam,Yes. Still used for hammam bathing services.,"Basic/self-service and package prices vary; expect roughly TRY 1,500-4,000+ for tourist-oriented services.",TRY,1500,4000,Indicative package range; verify official tariff before display.,https://www.cemberlitashamami.com/,2026-07-03,Medium,https://www.cemberlitashamami.com/ | https://en.wikipedia.org/wiki/%C3%87emberlita%C5%9F_Hamam,istanbul; hammam; ottoman; active heritage bathhouse
bath-026,living_bathhouse_tradition,Hürrem Sultan Hamamı,Active country-level tradition,Classical Ottoman imperial hamam,Hürrem Sultan Hamamı,Yes. Used for premium hammam services.,An imperial Ottoman bath built for Hürrem Sultan near Hagia Sophia and returned to bathing use after restoration.,Hürrem Sultan Hamamı,Türkiye,Istanbul,41.0056,28.9797,Historic Ottoman hamam by Mimar Sinan; active restored bathhouse,1556; reopened for bathing in 2011 after restoration,Active heritage hammam,16th century,Classical Ottoman imperial hamam,An imperial Ottoman bath built for Hürrem Sultan near Hagia Sophia and returned to bathing use after restoration.,"Designed by Mimar Sinan for Süleyman the Magnificent’s consort, the hamam sits on a deeply layered bathing site near the former Baths of Zeuxippus.","Important for imperial patronage, Sinan’s architectural language and the modern return of a heritage hamam to active ritual use.","Luxury hamam ritual: pestemal, heat, marble rest, kese scrub, foam washing, massage, sherbet/tea relaxation.",Symmetrical male/female sections; domes; marble hot rooms; imperial patronage; central Sultanahmet location.,Active luxury heritage hammam.,Active restored historic hammam,Yes. Used for premium hammam services.,"Luxury packages commonly run higher, roughly EUR 90-250+ depending on service.",EUR,90,250,Indicative adult hammam package range; verify official price list.,https://www.hurremsultanhamami.com/en/,2026-07-03,Medium,https://www.hurremsultanhamami.com/en/ | https://en.wikipedia.org/wiki/H%C3%BCrrem_Sultan_Hamam,istanbul; hürrem sultan; sinan; hammam; active heritage
